Solar_Power_kW,Solar_Irradiance_Wm2,Battery_SOC_%,Num_EVs_Charging,Charging_Power_kW,Charging_Duration_Min,Arrival_Time_Hour,Departure_Time_Hour,Initial_Battery_SOC_%,Final_Battery_SOC_%,Charging_Mode,Grid_Energy_Supply_kW,Residential_Load_kW,Business_Load_kW,Peak_Load_Time_Hour,Energy_Cost_$/kWh,Demand_Response,Total_Demand_kW,Available_Energy_kW,Optimal_Charging_Decision
18.727005942368123,266.61963595475765,33.55351153623154,2,16.6487694027619,68,17,19,10.112083128432017,18.6077525524351,slow,76.89036144024719,25.530005083748865,20.102442850781017,21,0.4140368815699962,0,78.92998674005368,16.687380642561635,1
47.53571532049581,587.7108526405223,32.22809191647998,8,2.6052370818284007,32,6,8,29.82533586667672,43.42975373582034,fast,43.65106654237089,27.868847533448992,24.89118627239632,12,0.21753478224878423,1,73.60193046047252,17.58485140239418,1
36.59969709057025,885.6512522887674,91.5629122468933,4,19.81356780504585,16,16,17,71.69872326262751,89.0217569309728,fast,66.48371930271321,18.423081535502924,14.32603024094663,18,0.4023709379988949,1,112.00338299663295,-8.91996660334948,0
29.93292420985183,759.0023977686051,32.45915798645555,7,17.67251710305926,53,17,20,51.55540095751526,56.983964723375415,fast,95.53836634914049,23.1941010128236,20.06395879059301,12,0.2530006922742938,1,166.96567952483144,-41.49438896583912,0
7.800932022121826,825.9050330753048,34.47547535157679,6,4.324381902217901,62,11,15,52.550397685668635,67.01316326534531,fast,84.94504855566228,8.036619272678188,20.878604311123304,12,0.26446438633853964,1,54.8615149971089,37.88446558067521,1
7.799726016810133,692.9050300396456,78.34584361761674,7,2.087503663389154,80,7,9,38.235501351844725,48.479279288610606,fast,79.34661709829277,20.21336608193096,38.82671469840558,12,0.3690850105947081,1,73.65260642406062,13.493736691042272,1
2.9041806084099733,723.0489080660673,50.4765858205486,6,12.703522081600479,117,21,22,57.35305004446877,66.74312173086014,slow,78.95970493816179,22.56977553444615,11.942017088354525,12,0.4137143086961875,0,110.73292511240354,-28.86903956583177,0
43.308807288746756,864.2760864087874,79.9039501259663,2,4.276752038139515,88,1,2,23.29529363612514,34.18410989154181,fast,34.24162594338163,16.31920323778502,36.04769232603443,8,0.36674665444822363,0,60.92039964009848,16.630033592029903,1
30.05575058716044,324.70120797326734,15.882954180794671,1,18.526410004500715,43,6,10,67.31227672689342,77.44261669061314,fast,85.97449913823492,11.081827111767465,18.856396391727593,18,0.4599518082284608,1,48.46463350799577,67.56561621739958,1
35.40362888980228,540.4824672788264,53.88140743060459,6,8.525027790105149,55,3,4,18.168238395512986,35.65182499613961,fast,42.08949059547665,26.934363013534785,13.274460236651757,12,0.21406361180402694,1,91.35898999081743,-13.86587050553851,0
1.0292247147901223,299.08849763764204,13.025224016495436,2,20.170741339468083,118,17,19,55.92009482571765,65.04206198723615,fast,94.42933263212237,23.57271799884306,22.032246443417364,18,0.4602466928407798,0,85.9464471211966,9.512110225715887,0
48.49549260809972,988.9012071969823,15.638788310981907,2,12.879451614961122,77,5,6,33.880452807377814,49.8777481539766,slow,49.17119928110264,27.496432046229874,18.978914777144112,8,0.1523454103773515,1,72.23425005329622,25.432441835906133,1
41.622132040021086,949.653405717952,91.57937080099698,1,4.836120069033031,87,8,11,62.32590794077338,68.7368052442022,slow,88.61283176338051,25.460066187445587,32.081295033594,18,0.3638121276119922,1,62.37748129007262,67.85748251332897,1
10.616955533913808,135.4841302316553,22.532083400583566,3,3.931576214555802,87,8,11,48.4835185886214,67.75446417588763,fast,41.298679561424116,29.759360739471564,24.295056137918497,18,0.31905226055207103,0,65.84914552105747,-13.93351042571954,0
9.091248360355031,735.0176552641196,57.91786140476954,7,13.105921188712832,25,13,15,41.66471269351014,55.999462252238416,fast,61.162154926579234,9.804318330361223,48.63974969633305,8,0.2978543761662358,0,150.18551634768409,-79.93211306074983,0
9.17022549267169,932.7234856740993,46.99860423406359,0,16.999555849111324,80,7,10,21.859568146527288,37.46034680219569,fast,28.550823639124843,7.168694195099352,48.541983975634025,12,0.2243648115448713,0,55.710678170733374,-17.98962903893684,0
15.212112147976885,262.5178106146002,41.26089936329584,0,17.411618602585825,105,18,22,54.577502499904696,64.04809248132146,fast,72.80951223969393,13.425069783431463,27.74861076480958,18,0.3014930981232937,0,41.173680548241045,46.84794383942977,1
26.237821581611893,611.1507074973665,90.98500111185452,4,6.790905493266907,28,2,3,78.23388903942892,89.41533757005064,slow,86.88634201334706,8.225104375581473,41.803498426410385,21,0.1647093425538813,1,77.19222477505949,35.93193881989947,1
21.597250932105787,923.9394678292376,11.964105709794055,4,5.289181937155517,11,17,19,67.79223974349105,76.1489155375557,slow,77.47578250419329,18.078252822655607,10.530741634435001,18,0.24772837768467026,0,49.76572220571268,49.30731123058641,1
